label,text
trung lập,có ai bịt loa như tao không 😁
trung lập,"mấy thằng dẫn gấu đi thì tránh xa đám đông ra nhé , đừng chen đẩy kiểu bố láo , thằng đẩy tao đã bị xơi cùi trỏ rồi đấy ,"
trung lập,nhìn là thấy nóng rồi
tiêu cực,"làm con người còn sức khoẻ , còn lành lặn mà vác mặt vào ăn cơm từ thiện thì chết con mẹ nó đi cho đỡ chật đất , cơm này dành cho những người không còn khả năng lao động , hoặc vô gia cư và hoàn cảnh quá khó khăn thôi"
trung lập,tự hỏi rằng những bạn nữ như thế nào thì họ có còn thích con trai không nhỉ 🤔
tích cực,cặp phụ lúc nào cũng đáng yêu .
trung lập,pháp không còn khoảng thời gian bình yên nữa rồi
tích cực,con ước mình cũng có 1 tình yêu đẹp như ông bà vậy < 3
tích cực,cô giáo là người nhà của mấy đứa đầu gấu à =)))))
tiêu cực,"tôi cũng thấy điêu điêu , nét chữ này của người lớn mà . chí ít cũng phải cấp 3 rồi ."
tiêu cực,phải con tao tao cho cả lũ chó cụt tay hết !
tích cực,cưng chết
trung lập,con gái hiện giờ .. nấu kiểu này thì thôi xong ... cháy luôn cả nhà 😂
trung lập,"đường đi về anh ợ , ô tô chắn hết đg chả đi được ??"
tiêu cực,ghê vậy
tích cực,nếu không có khúc cua cuối thì video này ý nghĩa đó chớ 🤣🤣
tích cực,dễ thương . cứ yêu đi ngại gì .
tích cực,hay lắm :)))
trung lập,dume con ế đọc tổn thương sâu con mẹ nó sắc :((
tiêu cực,chắc ông này không có vợ :))
tích cực,coi phim này không .. dễ thương lắm ..
tích cực,đúng vậy . haha
trung lập,tại sao cứ đa số là trèo cột điện với mái nhà nhỉ . ai giải thích mình với ??
tiêu cực,lâu lắm rồi mà gio mới xử phạt
tích cực,đáng yêu quá
tích cực,tuần sau nữa mới học =)))
tích cực,"sợ chưa , ông bác hơi bị cứng nhé :))))"
trung lập,"phàm là việc đại sự trong thiên hạ , cứ về hỏi vợ . vợ bảo sao thì làm ngược lại . ắt thành công !!!"
tiêu cực,bọn hại người không gươm không dao . bọn tiêu diệt nguồn lực tương lai của dân tộc . nên đưa tội thực phẩm bẩn vào khung tử hình đi . mong nhà nước thay đổi một số luật định đi .
trung lập,bữa nào làm thử mày
trung lập,cần 1 thời gian dài thật dài nữa thì ý thức mới đi lên được
trung lập,"trên đường tao đi làm cũng có 2 con , mỗi lần chay tới là nó vương cổ ra như kiểu muốn hút tao trong khi tao không làm gì nó , cứ mỗi lần chạy tới là tao cách ly cả "" nghìn mét "" với nó , thấy nó sợ bỏ mẹ . đúng chất con ngang"
trung lập,đội nào cũng xứng đáng hơi tiếc cho per
tích cực,:))) có thật nhiều tiền là vui
tích cực,"anw , vote cho anh vũ"
tích cực,ý là giọng quê tao đó hã
trung lập,tao thì ngược lại .. cắt xong nhìn như thằng trốn trại vậy
tích cực,chúc mừng cp . cố lên cp .
trung lập,đáng tiếc đời không như là mơ . thực tế sẽ vả vào mặt cho mày tỉnh ra :(
tiêu cực,con cháu việt nam nhục nhã vãi
trung lập,những người thả phẫn nộ xứng đáng là thiên thần . dăm ba cái yêu đương vớ vẩn . ahuhuhu
trung lập,cíu tao khỏi hai tên đồng nghiệp bị crazy huhu
tiêu cực,"thứ kém sang ngồi ăn ngay cạnh tao , có biết tao đang giảm cân không"
trung lập,"điều đó không quan trọng , quan trọng là đéo xác nhận lời mời kết bạn"
trung lập,rớt vô đây chắc chắc khóc tiếng thái lan
tiêu cực,vì có mối ngon hơn chứ saoooo :(
trung lập,đó đi chơi nhiều dô hỏi sao da đen -.-
trung lập,t quá mệt mỏi với cuộc sống này rồi 😓
trung lập,"anh luôn nghĩ thế giới này không có gì đáng sợ , cho đến khi anh không còn thấy em nữa"
trung lập,thế theo mấy bác lớp 5 thì viết chữ như thế nào ạ
trung lập,rồi mấy đứa chân ngắn đi chắc dập người hết . bay qua sao nổi =))))
tích cực,"đi viện mà tưng tưng ăn uống được là tốt rồi , mừng mày sớm ra viện nhé cô"
tích cực,mấy chị làm chung rất ư là dễ thương luôn
tích cực,em nó đây nha các bác . kkkkk :)))))
tiêu cực,gớm . vi khuẩn vi rút vi trùng vi lung tung beng nấp hết trong đó nhìn nổi da gà .
tiêu cực,xây làm tưởng xây cái chỗ ỉa chứ
tích cực,không hiểu tại sao bản thân có thể chịu đựng được
trung lập,ghê quá đi
tiêu cực,đem con bọn mày đến đây tao cho ăn cơm mốc rồi cảnh cáo tao rút kinh nghiệm thôi nha
trung lập,tao không tin đâu hiccc =(((
trung lập,tao cũng hao mòn nhan sắc như này
tích cực,thằng nhỏ mạnh vãi
trung lập,lại là bài nhạc huyền thoại trong xe hơi :3
tích cực,mình thì # mình chỉ mong chồng tốt thương yêu vợ con gia đình ! gia đình lúc nào cũng vui vẻ hạnh phúc thì ngày nào cũng là ngày ( tình yêu )
tích cực,kiểu lâu lâu cũng không được nhắn tin cho ai như thế nên cũng muốn tình cảm xíu =)))) biết đâu
tiêu cực,nó quan tâm mày là lúc nó cô đơn quá và mày vô tình đi ngang đời nó thôi
tích cực,nhớ ghê á nha 😂
tích cực,nơi ấy giữ lại những kí ức tuyệt vời
tiêu cực,mày xây luôn đi chắn biển cho tao . xây xomg muốn viết lồn gì thì viết
tiêu cực,vậy mà trên đời có 1 loại cha vứt bỏ con mình .
trung lập,chia buồn cùng nước pháp
tiêu cực,ma thì làm sao đáng sợ bằng vợ hả người anh em thiện lành ??????
tích cực,quá tuyệt vời rồi các chàng traiiii
tiêu cực,ngây thơ vãi =))
tiêu cực,t chỉ có 1 năm thôi cũng phát ngán lên được . đúng là không đi làm ở nhà mang danh kẻ ăn bám
trung lập,đoạn cuối hình như nó khóc
trung lập,đừng bao giờ chơi trò giận dỗi với lũ con gái :))
trung lập,"như một cú tát vào mặt , đau lòng quá đi"
trung lập,địt mẹ vừa đi ép lại kính xong giờ tan con mẹ nó cái kính rồi 200k của bà mày đấyyyyy !!!!!
trung lập,"trừ khi đường có biển cấm dừng đỗ thì mới không được đỗ , còn có phải phố nào cũng kẻ ô cho ô tô đỗ đâu"
tiêu cực,dume mệt mỏi thật sự
tích cực,cũng có nơi gia đình khá giả mới có nó !
trung lập,bởi đi mua cái gì cũng phải chọn chỗ uy tín
tích cực,"chơi game :v cấp 2 trộm tiền bố mẹ đốt gần 10tr vào game , cuối áy náy không chơi nữa nên ngồi bán nick được khoảng 2tr cũng gọi là thu nhập đầu tiên :v"
tiêu cực,bây giờ thì không nói nhưng mà cảm giác phủ nhận vai trò bà thảo ngày xưa . vl không chị đọc thấy viết khập khiễng quá :)))
tiêu cực,tôi đang ngủ mà ai cứ ăn chóp chép kế bên khó chịu thật !!!
tích cực,sao đi cắt tóc mà mắt nó từ đen sang xanh luôn vậy ?
tiêu cực,"ở mình bà đéo ông đéo nào cũng muốn dậy đưa giỏi , đứa ngu hay nghịch tý là ông bà ý làm ầm lên ."
trung lập,đã biết là thế nhưng không còn cách nào khác :(
tiêu cực,đống góp ý kiến gì mà tằm với tàu không hà
trung lập,mua con lợn 5 chục lì xì được có 40 nghìn mất thời gian tốn cả tiền bạc 😂
tích cực,"nhớ lại ngày đó , làm pg bán giấy , cười suốt ngày , khách chửi cũng cười , mà nhớ thời đó ghê , mới 1 , 2 năm chứ mấy"
tiêu cực,người ta đá hay bảo ăn đòn thằng admin ngu lol
trung lập,8h sáng mấy bạn đi ngủ chưa ? sống theo giờ sao hoả hả má
trung lập,chỉ tại tôi không nói nên không còn cơ hội
tích cực,cái mặt xinh quá
trung lập,"đang tính đi nhổ răng khôn ( à quên , nó ngu chứ khôn đéo gì ..) nghe được cảnh báo này chắc không dám đi nhổ luôn ."
trung lập,nắng cũng đã sắp tàn sao mà chả thấy em đâu ...
trung lập,ai mua thì bán không mua thì thâu 😂
tích cực,đã nhẫn nhịn lắm ... đến khi con sen tao cứu tao thì tao đách có sợ đâu nhaaaaaaaa 😂😂😂
tích cực,"chời ơi , bé gái cưng muốn xỉu . bạn nữ nào kết hợp sx em bé hơm ?????????????? :))))"
tích cực,bài học rút ra là học cách buông bỏ những thứ không thuộc về mình
tiêu cực,cách gì thì kệ mẹ tao
tích cực,"công nhận ổng nói tiếng việt giỏi ghê lun ,"
trung lập,đừng hỏi tao nữa
tích cực,được bác ạ !! cứ lấy vợ giàu là được tuốt =)))
tích cực,cuộc sống mà =))
tiêu cực,page rẻ rách đĩ mẹ tao bỏ theo dõi súc sinh cận bả xã hội dcm 18 đời nhà mày :)
trung lập,bếp dầu chủ cái gì nữa
tiêu cực,mở mắt ra đọc đi ! tao như này tất cả là do mày đấy chó ạ !
tiêu cực,mợ không gọi công an phường đến cẩu đi .
tiêu cực,ngã sấp mặt lồn là có thật
trung lập,do mày để gián ngay cửa nó không dám vào nên khóc thôi
tiêu cực,đồ phá hoại
trung lập,xem câu chuyện hư cấu này giết thời gian này 👏
trung lập,buồn hơn khi tôi còn là gái 🙄
tiêu cực,phim như shits ức chế như lien quan trẻ trâu
tích cực,bữa cuối nó ngồi chỗ đó nhìn mà khóc còn cuối khoá thì bth haha
tích cực,dume cười vãi luôn trời :))))
tích cực,ở chỗ khác chắc gì có đứa béo như mình !
tiêu cực,đừng ảo tưởng nhé
trung lập,thật sự đọc xong thấy hơi rưng rưng
trung lập,bọn mấy bà thì quyền lực vãi rồi
tích cực,"sướng nhờ , bên trung chúng nó yêu nhau toàn sống chung . 😂😂😂 toàn richkid :>"
trung lập,đứng dưới cây này chỉ sợ ngột vì mùi hoa sữa 😂😂😂
tích cực,ngôn ngữ gì ngộ nghĩnh vậy
tích cực,ở free được lun hả 😮
trung lập,có ai thấy giống người đẹp 9p không ?
tiêu cực,em ghét nhất loại này . dính vào điểm mù của xe to thì ăn cức cụ ạ .
trung lập,"buồn cho những ai thờ ơ , vô cảm trước một sự việc như thế ."
tích cực,"aaaaa con nhện 😨 "" aaaaaaa con ế !"" - nhện said 😂😂😂"
tích cực,"hahaa , đợi em ngủ chút tí ròii buôn :))"
tiêu cực,móe mình chưa gặp cảnh này chỉ có dọn bánh kem bọn ném nhau dính lên mọi thứ hòa với bãi nôn thôi 😱😱😱
trung lập,nhớ con gái tao quá :((((
tích cực,minh tu nguyen thuận phạm quan trọng đồng nghiệp có hợp phong thuỷ với mình hay không hâhhah
trung lập,tuổi thơ cũng từng trải qua nhiều lời cay nghiệt hơn vậy .. nên c hiểu được cảm giác của em ..
trung lập,sợ vãi tè ăn độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu
tích cực,"một thời mình ở bên nhau 😘😘😘😘, nhớ ghê"
tiêu cực,chỉ vì tin “ nó không cắn đâu ” mà tao đã bị “ nó ” cắn 2 lần rồi . dume
trung lập,hi vọng hòa bình ở triều tiên sẽ không còn xa nữa . goodbye ! # per
trung lập,"cái đáng nói là chủ không có thương , dòm em husky này ốm nhom , mắt lờ đờ thấy tội lắm"
tích cực,thằng nào chưa bước vào quán bar hay karaoke giống tao không 😂 trai ngoan điểm danh 😄
tích cực,xinh mà còn ngáo nữa thì người yêu mới cưng =))
tiêu cực,mình đéo làm nhé bạn .
tích cực,"ai thì tao không biết , chứ tao thấy tiền là đã có động lực phấn đấu rồi"
trung lập,":)))) cuộc sống mà . ngày càng thấy bản thân quá nhạt và "" duyên "" :v"
tích cực,"moá nó , cười đau hết cả ruột"
tích cực,sao con này mồm nó cứ rộng toang toác ra như thế nhỉ ?
tích cực,ý tưởng hay đáy chứ
tích cực,có thằng nào mắc cười không hay là do tao đéo có cảm xúc vậy vkl
trung lập,lại là án oan sai 😔😔😔
tiêu cực,yêu như trẻ con tập yêu ây .. có cái chúc sinh nhật mà nháo nhào lên cãi nhau
tích cực,tao quen rồi 😌
trung lập,có ai vào đọc bình luận trước khi xem như tao không ???
tích cực,tình yêu không bao giờ là mãi mãi . rồi cây cũng chết héo mà thôi khà khà
tiêu cực,"đúng là những đứa khốn nạn , có bán hàng hay không thì nói một câu"
trung lập,đéo tin gì cả 😑
trung lập,xem mà cuối phim thấy tội chị ma nữ 😂
trung lập,thương các con quá đi
tích cực,trung thu là tết thiếu nhi cớ sao người lớn lại vi vu thế nhỉ
tiêu cực,thời buổi bây giờ càng nhiều tiền thì cơ hội có việc làm sẽ cao hơn
tích cực,xem đi haha
tích cực,em hiểu sao anh đưa em quyển sổ rồi nha kkk
trung lập,em gì gì đang hot đi làm lại ngực mà đi đoạn đường này thì ngải cứu :))
tiêu cực,quả quần tụt tận lỗ đít . đéo hiểu sao n có người yêu
trung lập,"cái này dùng con kiến to to mới có vị chua , còn cái loại kiến này làm màu không tác dụng gì"
tiêu cực,trông đen đen bẩn bẩn nhìn phát khiếp
trung lập,đó là 1 câu chuyện buồn
trung lập,"con quỷ này hồi nhỏ tao khóc vì nó hoài , thấy nó không dám đi , bỏ đường phải vòng đường khác ,"
tích cực,phải chi có người yêu nhắn tin ngọt ngào như này
tiêu cực,nhìn mặt bé mèo khó ở ghê - _ -
trung lập,tao cũng có 1 con đi lạc 1 tuần xong nó về bắt cho tao 2 con chuột làm tao mất ngủ xong hôm sau nó đi tiếp 😞 tao mong nó về lắm 😞
tiêu cực,ác quá
tích cực,lâu lâu được nghe truyện cổ tích thấy còn niềm tin vào cuộc sống 🤣🤣
tích cực,tao lại thích chua lè chua loét chứ :)))
tích cực,nó ảnh hưởng tới cơ thể như thế nào vậy ạ ?
tích cực,chúng ta thật hạnh phúc và luôn đi chung với nhau suốt chặn đường dài rồi đó nà ?
trung lập,như nó không phải là tình yêu . khi đã là tình yêu thì không gì đánh đổi nó cả . con gái kỳ lạ chỗ đó .
tích cực,t thấy dễ mà . không biết thì học khác biết . ez vãi
tiêu cực,"nếu không làm được thì nghỉ đi để người khác làm . đừng để vì mình mà làm ảnh hưởng đến uy tín , danh dự , nhân phẩm của chị em trong ngành . 😌"
tiêu cực,"gia đình bọn này chắc cũng chả ra cái gì con cái mới thế , tội em gái bị đánh"
tích cực,ôi cưng cưng quá
tiêu cực,dme thần đèn ăn theo tổng đài vtc à
tích cực,"đã dùng , nhớ quá ngày xưa"
tích cực,đơn giản 🙂
trung lập,rủ được crush đi thì không cần qua đây nữa rồi admin ưiiii :(((
trung lập,tình cờ gặp nó và đột nhiên cắm mặt bỏ chạy như điên
trung lập,vl bố tao đang ở đây mà chắc sáng mai mới về mất ??
trung lập,căng thẳg quá mà
trung lập,"hồi bé đi mua xôi bị một đàn ngỗng đuổi 🙂 may mình đi xe đạp không thì ăn lol ** với chúng nó , cái thứ mất dậy 🙎🏻‍♀️🙎🏻‍♀️🙎🏻‍♀️"
trung lập,hồi năm lớp 8 lớp tao bị quỳ trước sân trường đây nguyên lớp luôn
tích cực,chân thành và giản dị . con yêu mến tình cảm của 2 cụ
trung lập,cố gắng lên cụ nhé !!❤
tiêu cực,nhốt hết mấy thành phần hát karaoke đấy vào sọt đi trời
tích cực,"có tài nhưng đôi lúc muốn làm diễn viên hài 🤣🤣🤣, khoái thanh niên này buồn cười vkl"
trung lập,cuộc sống đổi thay làm lòng người thay đổi . hiểu vậy cho nó vuông
trung lập,chung quy là hình thức quảng cáo !!!
trung lập,sao lại có chuyện vô lý như vậy được chứ 😠. rồi bé nhỏ sẽ như thế nào khi chứng kiến bố nó bị đâm ngay trước mặt nó . nghĩ đã không dám nghĩ tới rồi thấy thương bé quá .
tích cực,trông anh thần thái vãi :v
trung lập,khi bạn thật lòng với ai đó . nhưng người ta coi bạn như 1 trò đùa
tích cực,giống ml em tao hồi n nhỏ vãi . muốn ngủ với mẹ nhưng bị tao nịnh nọt bắt lên ngủ với tao :))
tiêu cực,đụ con đĩ mẹ hôm nọ đang ngủ thằng lol nào hét ầm ầm . mày về nà hét cha hét mẹ mày chớ ngủ không yên
trung lập,có tất cả các vị mày niếm được
tiêu cực,cắt tóc rồi mặt như con heo
trung lập,"bây giờ con đã sai vì đã chưa làm gì được cho cha , con thật sự xin lỗi cha và mẹ ,"
trung lập,không thấy không biết lòng không đau
tích cực,tán gái hay vãi
tiêu cực,nhìn ghê vãi . ai nuôi mà ác thế
trung lập,"đúng . làm gì không quan trọng , quan trọng là bạn làm điều đó với ai"
tích cực,"xời tưởng gì , cái này tao làm được =)))"
trung lập,thôi tốt nhất là chịu thua đi . thắng hay thua cũng đâu có được gì .
tích cực,giao lưu tí không . tự bấm chứ không mua =)))
tích cực,thằng nào quảng cáo xe vãi thế
trung lập,đấy mới là điều càn đó . huhu
tích cực,hạnh phúc là đây chứ đâu =)))
trung lập,đó cũng là cái cốt lõi cái then chốt thúc đẩy ông phát tiển sách lược của mình bằng cái tâm và cái tầm .
trung lập,môn này đéo dành cho những người chân ngắn như tao :) bay qua chắc lọt mẹ xuống sông ^^
tích cực,xem đi xem lại vẫn hay ;))))))
tích cực,ông cháu không nè kkk
trung lập,có hôm tao đang vương nỏ tính bắn vào con họa mi đang đậu trên cành thì ai ngờ nó phản đame đứt thun dội ngược vào mặt từ đó tao không còn chơi nữa
tích cực,cưng xỉu ~~??
trung lập,đằng nào thì điều hòa vẫn bật mà .
trung lập,:))) mình sướng mà mình không biết hưởng nhìn lại những mảnh đời bất hạnh mình nguối mặt thẹn gấp 100 lần
trung lập,đến con nít chúng ta cũng không bằng là sao ......... tuổi thơ và tuổi thanh xuân nợ chúng ta quá nhiều thứ rồi 😭😭😭😭
tích cực,"đấy , chỉ có sale như tao mới tốt thôi , tao không bao giờ hỏi về nỗi đau của khách hàng : x"
tiêu cực,kinh dị thật nhìn ngu vãi
tích cực,con bé xinh ghê
tích cực,kaka cái mặt bà kìa
tiêu cực,lâu lâu tự nhiên ghen mặc dù đéo là gì của nhau 🙃🙃🙃
trung lập,tự nhiên thấy mình hơi thất đức
trung lập,tưởng tượng mà dưới sông có cá sấu nữa chắc hết dám đi
trung lập,cần xem cái kết của bọn này
trung lập,quá nguy hiểm
trung lập,maii ban thanh nhung nhớ cái này không hic 😭😭😭😭😭
trung lập,hoàng thượng mặc áo đầu lâu mới sợ chứ
trung lập,tao chả bao giờ làm thế
tiêu cực,dume thằng mất dạy !
tích cực,chưa bao giờ còn yêu nhiều hơn thế 😍😍 bởi cha mẹ cho tôi tất cả
tiêu cực,cuốn sổ vô dụng nhất mà tôi từng biết . ơn giời nó không còn nữa
tiêu cực,có những người như chủ thớt bảo sao đất nước không phát triển
trung lập,má lỡ té xuống 1 cái tao nói lên tắm 8 năm cũng đéo sạch nữa
tiêu cực,tao khuyên bọn mày đừng dắt bọn con gái theo . nó bắt bọn mày cõng nhảy qua đấy :)))
tiêu cực,"bệnh quá , xấu mặt người dân 1 vùng quê đồng bằng bắc bộ"
tích cực,hai bác học nghiêm túc ghê :)))
tiêu cực,không thấy hay ho gì cả
tiêu cực,bóp dái thật mạnh xem còn dám sàm sỡ không
trung lập,mấy đứa chân ngắn qua sao
tiêu cực,ôi vãi nhìn ảnh giật mình đám nghiệt súc cười nhé răng !!!!!! đhs ... 😞 đẻ ra đau bết cả lồn
trung lập,bác nói vậy thì tao cũng quì
tiêu cực,cứ thải trực tiếp ra sông thì có xử lý công nghệ mặt trăng cũng bó tay
tiêu cực,"tao bảo 99 , 99999 % là mấy ông ngoài bắc và kiểu chửi này cũng ngoài bắc vì tao cũng bị chửi vậy khi còn bé . h thì bình thường nhưng nghĩ lại buồn chứ không vui đâu tụi bay . ngoài bắc cách giáo dục là miệt thị . ko đồng ý"
tích cực,phim này ý nghĩa lắm
trung lập,"ảnh đẹp lắm , nhưng không có những người khổ này thì sẽ đẹp hơn 🙂"
tiêu cực,"thì bác cứ tranh luận đi , bác nói đúng thì mình cũng chả nói gì , còn mình thấy cái kiểu cậy nhà mặt đường nhưng tư tưởng nhắn tin kia thì kiểu gì cũng có ngày sấp mặt ."
tích cực,yêu thế
trung lập,nhưng vẫn tồn tại nhiều đứa con gái không như vậy mà ??
tích cực,làm sao mặc áo được ta 😂😂
trung lập,"ê tao cũng hay giữ mấy cái linh tinh lại như vậy để vài năm sau mở ra xem lại có cảm giác hoài niệm , mà mẹ tao bắt tao vứt hết rồi 😢"
tích cực,ảnh đẹp quá 😍
trung lập,"t không tiếc mấy ly trà sữa , chỉ thấy tội cho mấy cô lao công dọn dẹp mà thôi 😔"
tích cực,người lớn tuổi nhiều lúc rất dễ thương 😊❤
trung lập,sao giốg với mình v . nhưg mình từ bỏ rồi người ta hình như cũng có người khác . từ đầu là do mình ảo tưởg thôi giờ thì tỉnh đi cô gái ạ
tiêu cực,tôi đập cho toè cái mỏ lun nha
trung lập,có ai ngu như tao không đơn phương con nhỏ cạnh nhà 4 năm mặc dù nó ngồi chung bàn với tao suốt mấy năm cấp 3 :(((
tiêu cực,ở nhà vênh lắm đi bộ đội thì yếu ớt vãi
tích cực,thương mấy anh quá mà tao không kiềm được vẫn phải thả haha
tiêu cực,bẩn vãi
tiêu cực,đường của nhà nước co phải nhà cụ đâu mà kêu ca
tích cực,sao giống tôi rứa hỉ ...
tiêu cực,đm độc bình luận toàn kêu chọn nghề khác dume đây đéo phải nói tới cái nghề mà là nói tới ý thức của tụi mày đó đầu trâu óc chó . nếu chọn nghề khác thì dume ai làm công việc đó ... nghề chọn mình mình không chọn nghề được ... kể cả làm phò như tụi mày cũng vậy
tích cực,mai người ta đi học mai tao đi du lịch ố la la =)))))))))))))
trung lập,có khi nào kết hôn xong nó giết lấy tiền bảo hiểm không
trung lập,nó mà cắn ai 1 phát thì ... nghĩ thôi đã rùng mình
tích cực,mát lồng lộng mày ạ
trung lập,mưa lắm các con giời ở nhà ngủ cho khoẻ nhé .
trung lập,năm nay con bao nhiêu tuổi rồi ? =))
trung lập,vì chúng ta không nên nói chuyện với nhau nữa
trung lập,tao xin bổ sung thêm
tiêu cực,"ngu và ngang ngược quen rồi , chừa tật nhé"
tích cực,có người sinh ra đã làm ban giám khảo anh nhé kk
trung lập,thật buồn khi mình thịt vợ thang khác mà thằng khác thịt vợ tưong lai mình
trung lập,hay bị giật khô trên đó rồi :(
tiêu cực,"đm lũ chó bán thịt lợn sán cho các cháu lũ đấy phải tìm ra và xử tử hết . loz mẹ chúng mày vì lợi nhuận giết hết cả tương lai đất nước , dume lũ chó chết"
trung lập,đéo có người thương để mà làm ấy chứ :(
tích cực,"chồng xem đi , hài lắm"
tiêu cực,dume lần sau có tỏ tình thì cũng 1 vừa 2 phải thôi
trung lập,chạy ngay đi 😨😨 trước khi bọn chủ tịch vào đây và giả làm con c * c gì đó rồi bị coi thường và tụi bay phải nhận cái kết đấy . 😬😬😬😬
trung lập,nhưng mà từ giờ trở đi đéo được tiếp xúc rồiii
trung lập,"cùng suy nghĩ , và sợ cả điện giật nữa , giờ cứ ngồi cho chắc ăn ."
tích cực,"cái này ở shop đồng giá 40k aeon có nè , tê tới dái luôn"
trung lập,ngày buồn nhất trời đổ cơn mưa :(
trung lập,không có khúc rớt dt hả .. 😑
tiêu cực,như con điên :))
trung lập,tao lại bị mọc lông chân rồi :((
tích cực,sao bắt nhanh thế sáng đọc báo có tin chôm ngân ngàng chiều đọc báo đã bắt được rồi
trung lập,mỗi lần tao ăn đu đủ bằng thìa thì bố tao lại chửi tao . bố tao bảo loại mày ăn đu đủ không cần thìa đâu .
tiêu cực,"vãi cả ngứa mắt :)). lập luận rất là có cái "" lí "" luôn . đấy , ngứa mắt là sai cả lí rồi nhé mấy ông đỗ xe =)))"
trung lập,mua thuốc ngoài thú y sức vào vài ngày nó không bám nữa
trung lập,"tao cũng hay nằm mơ con mèo của mình nó về , tao tưởng thật nên khóc cả trong mơ lẫn ngoài đời . nhưng nó đâu có thể về được nữa ..."
trung lập,giá mà có ai để giận :v
trung lập,"chân ta cũng là chân đi và giờ bị đứt dây chằng , nằm một chỗ đợi mổ rồi mày . đồng cảm vãi"
trung lập,"ai ở gần đó xin hãy giúp chú , thương chú"
tích cực,cuối ngày hình ảnh của ông bà là đẹp nhất ... chúc ông bà mãi hạnh phúc sống thật lâu lâu nhé 😘😘😘
trung lập,cắt như anh này gọn gàng thoáng mát nhé auto đẹp trai
trung lập,"có thể xương của mày nó bị giòn , xuất viện nhớ bổ sug thêm nhiều canxi nhé"
trung lập,1 lần chơi lớn xem em có trầm trồ
tích cực,xin lỗi mày nhưng tao đọc buồn cười
trung lập,trải qua một cuộc bể dâu . những điều trông thấy mà đau đớn lòng
trung lập,t nghĩ thằng châu phi kia nó rất nhiều tiền
tiêu cực,đi đâu cũng nghe bài này riết muốn tắt dẹp cho rồi
tiêu cực,nhìn thấy ghét ...
tiêu cực,xàm lol giáo dục đéo gì
tiêu cực,biết phân biệt phải trái không vậy ??? và có biết đỗ như thế nào là đúng luật không ???
trung lập,chán mấy ông thanh niên .
tiêu cực,trẻ trâu thời nào cũng có thông cảm đi
trung lập,cũng là chị em nó làm nhà trẻ nên chịu thôi
tiêu cực,bắt được rồi cho bọn này đi chết đi để chúng nó sống rồi làm hại người khác
tiêu cực,đốt cháy túi tiền thì ở nhà cho rồi . xem chi không biết
tích cực,có thằng bị tao bắn từ đó không thấy họa mi hót nữa luôn
tích cực,"hôm qua tôi đi grab gặp được bạn đẹp trai , thơm phức nè . có cô gái nào có hứng thú hem ?"
tích cực,đẹp quá v 😍😍
trung lập,:) thế trong trường hợp này thì sao ? có nhiều xe lắm đâu cụ
trung lập,lo cho thang bé lỡ rớt điện thoại xuống nước thì ....
trung lập,dăm ba cái con nhện :)))))
trung lập,ủa rồi chân một khúc như tao nhảy kiểu gì ? 🙂
trung lập,trong 1 năm đó bố mẹ ông cho ông 10 tỷ đố là tiêu vặt và 1 con lám bồ để đi giao hàng
tiêu cực,k chăm được thì đừng nuôi nhìn tội quá ??
trung lập,"có hôm nó lo đọc cho mình nên không chép kịp bài , cô giáo bắt phạt đánh đòn cả hai đứa . năm sau bạn í chuyển trường mất , nhớ bạn quá !"
trung lập,"đừng ám tao nữa , sợ lắm"
trung lập,tao gửi từ ngã tư đồng đội cơ mà đi xa vãi
tiêu cực,"lạ kì thật , một kì thi quan trọng như vầy mà vẫ nhầm đề được ."
trung lập,định mệnh tao lại quên mang áo mưa
trung lập,chia buồn cùng người dân và đất nước pháp
tích cực,"mày ơi trò này lợi hại nè áp dụng ngay :"")))"
trung lập,:))) không bù cho nhũng người như cta
tích cực,ôi gu mình !! mà phim lâu quá rùi giờ mà đóng lại bản khác thì không biết sao haaa
trung lập,"giống hệt mình , nhưng bạn may mắn hơn vì bên này quyết trốn nợ tận cùng"
tiêu cực,"đéo mẹ bệnh viện chứ có phải chỗ gửi xe đâu , nó niêm yết rõ ràng như thế kêu ca cái gì"
tích cực,ngày mai là ngày gì mà ra lắm phim vậy bạn ?
trung lập,"ước gì con về với mẹ .... đợi mấy tháng rồi vẫn chưa thấy bóng dáng con , mong con vẫn sống ..."
trung lập,chất đó có làm mềm não không ?
trung lập,em này có cạo lông không ta sao nhìn lông ngăn quá
trung lập,"ngày nào cũng thấy tàu trật bánh , khá buồn"
tiêu cực,tao thấy nhảm quá
tích cực,y tế 24tr tháng á ???? kinh vầy ???
tiêu cực,"thế mày lại ghép nhạc vào làm gì cho con bé bị tán mấy chục cái , mày ác lắm"
tích cực,em đã tìm ra giải pháp thiết kế rồi nhé :)))
trung lập,sad cực mạnh
tích cực,may cho bạn 😄😄😄
trung lập,đợi đến ngày họp lớp đi 😪
tích cực,tao thích con trai đầu tóc gọn gàng vãi_chưởng 🙃
tích cực,"hành động đẹp chứ sao , đằng nào cũng tiệt kiệm hơn :)) 0"
tích cực,chỉ ước về sau mình được vay
tiêu cực,"bạn bè nói chuyện cũng chụp post facebook , vui không ?"
trung lập,mệt quá mấy con ơi
trung lập,nói tóm lại là nó thích đỗ đâu thì nó đỗ mình thích thì mình gọi công an . chứ mình không có quyền
